X,Y,ID_KM,KM,FECHA_ACT,CALIREPR,icon_url
-101.337175155742,20.1539774736025,34732,18,2021-11-12 11:54:24,Aproximada,./0.png
-101.344048764083,20.147686792089,34733,19,2021-11-12 11:54:24,Aproximada,./0.png
-101.3507656902,20.1414380577658,34734,20,2021-11-12 11:54:24,Aproximada,./0.png
-101.358013383581,20.1346955523996,34735,21,2021-11-12 11:54:24,Aproximada,./0.png
-101.370829541509,20.1227452235727,34736,23,2021-11-12 11:54:24,Aproximada,./0.png
-101.378376634473,20.1157506713928,34737,24,2021-11-12 11:54:24,Aproximada,./0.png
-101.368488195179,20.1596188914516,34738,3,2021-11-12 11:54:24,Aproximada,./0.png
-101.506876645852,20.3273744650414,34739,8,2021-11-12 11:54:24,Aproximada,./0.png
-101.56337145245,20.3547301426159,34740,1,2021-11-12 11:54:24,Aproximada,./0.png
-101.599789953342,20.3458011192464,34741,16,2021-11-12 11:54:24,Aproximada,./0.png
-101.616246213691,20.3555914514354,34742,14,2021-11-12 11:54:24,Aproximada,./0.png
-101.631876287345,20.3661206320184,34743,12,2021-11-12 11:54:24,Aproximada,./0.png
-101.500719037805,20.328327557016,34754,4,2021-11-12 11:54:24,Aproximada,./0.png
-101.661995383319,20.3318807696612,34762,10,2021-11-12 11:54:24,Aproximada,./0.png
-101.656843221847,20.3266859481822,34763,11,2021-11-12 11:54:24,Aproximada,./0.png
-101.648929189831,20.3185794961652,34764,12,2021-11-12 11:54:24,Aproximada,./0.png
-101.641744733087,20.3126963769359,34765,13,2021-11-12 11:54:24,Aproximada,./0.png
-101.637465949641,20.3070129730494,34766,14,2021-11-12 11:54:24,Aproximada,./0.png
-101.635439593197,20.2996687609398,34767,15,2021-11-12 11:54:24,Aproximada,./0.png
-101.640006494727,20.2916206368471,34768,16,2021-11-12 11:54:24,Aproximada,./0.png
-101.637120595243,20.2824195828933,34769,17,2021-11-12 11:54:24,Aproximada,./0.png
-101.644476952552,20.2757941584394,34770,18,2021-11-12 11:54:24,Aproximada,./0.png
-101.651442963797,20.2731997694338,34771,19,2021-11-12 11:54:24,Aproximada,./0.png
-101.658099179642,20.2670574775467,34772,20,2021-11-12 11:54:24,Aproximada,./0.png
-101.658551856922,20.2603480110496,34773,21,2021-11-12 11:54:24,Aproximada,./0.png
-101.652694724361,20.2525977498183,34774,22,2021-11-12 11:54:24,Aproximada,./0.png
-101.65796143406,20.2457684444729,34775,23,2021-11-12 11:54:24,Aproximada,./0.png
-101.665651444919,20.2401048708907,34776,24,2021-11-12 11:54:24,Aproximada,./0.png
-101.672481329303,20.2340176413326,34777,25,2021-11-12 11:54:24,Aproximada,./0.png
-101.679111688528,20.2273539895462,34778,26,2021-11-12 11:54:24,Aproximada,./0.png
-101.684668929185,20.2205975732599,34779,27,2021-11-12 11:54:24,Aproximada,./0.png
-101.68958158971,20.2170038995093,34780,28,2021-11-12 11:54:24,Aproximada,./0.png
-101.701772384081,20.2132007018961,34781,29,2021-11-12 11:54:24,Aproximada,./0.png
-101.720535726874,20.2165496196023,34782,31,2021-11-12 11:54:24,Aproximada,./0.png
-101.72987706199,20.2174125607852,34783,32,2021-11-12 11:54:24,Aproximada,./0.png
-101.735648134999,20.2162309738515,34784,33,2021-11-12 11:54:24,Aproximada,./0.png
-101.747315813251,20.2168236308803,34785,34,2021-11-12 11:54:24,Aproximada,./0.png
-101.757656823087,20.2182576548011,34786,35,2021-11-12 11:54:24,Aproximada,./0.png
-101.775304445419,20.2215624266119,34787,37,2021-11-12 11:54:24,Aproximada,./0.png
-101.803879241559,20.2234779072334,34788,40,2021-11-12 11:54:24,Aproximada,./0.png
-101.813114184339,20.226343070142,34789,41,2021-11-12 11:54:24,Aproximada,./0.png
-101.824931686316,20.2301327010062,34790,42,2021-11-12 11:54:24,Aproximada,./0.png
-101.838065982282,20.224984887947,34791,44,2021-11-12 11:54:24,Aproximada,./0.png
-101.846184903854,20.2206313227223,34792,45,2021-11-12 11:54:24,Aproximada,./0.png
-101.859745261933,20.2192358849597,34793,47,2021-11-12 11:54:24,Aproximada,./0.png
-101.852824212837,20.2366189859558,34794,49,2021-11-12 11:54:24,Aproximada,./0.png
-101.850607616338,20.2444488495294,34795,50,2021-11-12 11:54:24,Aproximada,./0.png
-101.503861884152,20.3587386075917,34796,1,2021-11-12 11:54:24,Aproximada,./0.png
-101.486354319886,20.3649062228604,34797,3,2021-11-12 11:54:24,Aproximada,./0.png
-101.578539766887,20.36050921767,34798,1,2021-11-12 11:54:24,Aproximada,./0.png
-101.569466319422,20.3635801962971,34799,2,2021-11-12 11:54:24,Aproximada,./0.png
-101.560098279508,20.3648692941708,34800,3,2021-11-12 11:54:24,Aproximada,./0.png
